datetime,00060_Maximum,00060_Maximum_cd,site_no,00060_Minimum,00060_Minimum_cd,00060_Mean,00060_Mean_cd
2003-06-11 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-06-12 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-06-13 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-06-14 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-06-15 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-06-16 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-06-17 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-06-18 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-06-19 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-06-20 00:00:00+00:00,88.0,A,08080700,0.0,A,8.31,A
2003-06-21 00:00:00+00:00,88.0,A,08080700,12.2,A,27.9,A
2003-06-22 00:00:00+00:00,12.2,A,08080700,1.99,A,6.41,A
2003-06-23 00:00:00+00:00,1.99,A,08080700,0.02,A,0.73,A
2003-06-24 00:00:00+00:00,0.02,A,08080700,0.0,A,0.0,A
2003-06-25 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-06-26 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-06-27 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-06-28 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-06-29 00:00:00+00:00,5.17,A,08080700,0.0,A,0.29,A
2003-06-30 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-07-01 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-07-02 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-07-03 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-07-04 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-07-05 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-07-06 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-07-07 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-07-08 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-07-09 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-07-10 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-07-11 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-07-12 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-07-13 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-07-14 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-07-15 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-07-16 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-07-17 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-07-18 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-07-19 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-07-20 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-07-21 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-07-22 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-07-23 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-07-24 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-07-25 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-07-26 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-07-27 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-07-28 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-07-29 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-07-30 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-07-31 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-08-01 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-08-02 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-08-03 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-08-04 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-08-05 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-08-06 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-08-07 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-08-08 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-08-09 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-08-10 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-08-11 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-08-12 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-08-13 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-08-14 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-08-15 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-08-16 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-08-17 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-08-18 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-08-19 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-08-20 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-08-21 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-08-22 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-08-23 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-08-24 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-08-25 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-08-26 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-08-27 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-08-28 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-08-29 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-08-30 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-08-31 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-09-01 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-09-02 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-09-03 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-09-04 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-09-05 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-09-06 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-09-07 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-09-08 00:00:00+00:00,0.05,A,08080700,0.0,A,0.0,A
2003-09-09 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-09-10 00:00:00+00:00,5.17,A,08080700,0.0,A,0.08,A
2003-09-11 00:00:00+00:00,5.17,A,08080700,0.0,A,0.11,A
2003-09-12 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-09-13 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-09-14 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-09-15 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-09-16 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-09-17 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-09-18 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-09-19 00:00:00+00:00,,,08080700,,,0.0,A
2003-09-20 00:00:00+00:00,,,08080700,,,0.0,A
2003-09-21 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-09-22 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-09-23 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-09-24 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-09-25 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-09-26 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-09-27 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-09-28 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-09-29 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-09-30 00:00:00+00:00,0.0,A,08080700,-0.0,A,0.0,A
2003-10-01 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2003-10-02 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2003-10-03 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2003-10-04 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2003-10-05 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2003-10-06 00:00:00+00:00,0.0,A,08080700,-0.0,A,-0.0,A
2003-10-07 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2003-10-08 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2003-10-09 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2003-10-10 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2003-10-11 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2003-10-12 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2003-10-13 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2003-10-14 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2003-10-15 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2003-10-16 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2003-10-17 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2003-10-18 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2003-10-19 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2003-10-20 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2003-10-21 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2003-10-22 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2003-10-23 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2003-10-24 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2003-10-25 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2003-10-26 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2003-10-27 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2003-10-28 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2003-10-29 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2003-10-30 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2003-10-31 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2003-11-01 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2003-11-02 00:00:00+00:00,0.0,A,08080700,-0.0,A,-0.0,A
2003-11-03 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-11-04 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-11-05 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-11-06 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-11-07 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-11-08 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-11-09 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-11-10 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-11-11 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-11-12 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-11-13 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-11-14 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-11-15 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-11-16 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-11-17 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-11-18 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-11-19 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-11-20 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-11-21 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-11-22 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-11-23 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-11-24 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-11-25 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-11-26 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-11-27 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-11-28 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-11-29 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-11-30 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-12-01 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-12-02 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-12-03 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-12-04 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-12-05 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-12-06 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-12-07 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-12-08 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-12-09 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-12-10 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-12-11 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-12-12 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-12-13 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-12-14 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-12-15 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-12-16 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-12-17 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-12-18 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-12-19 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-12-20 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-12-21 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-12-22 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-12-23 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-12-24 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-12-25 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-12-26 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-12-27 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-12-28 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-12-29 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-12-30 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2003-12-31 00:00:00+00:00,0.0,A,08080700,-0.0,A,-0.0,A
2004-01-01 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-01-02 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-01-03 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-01-04 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-01-05 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-01-06 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-01-07 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-01-08 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-01-09 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-01-10 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-01-11 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-01-12 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-01-13 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-01-14 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-01-15 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-01-16 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-01-17 00:00:00+00:00,17.8,A,08080700,0.0,A,8.37,A
2004-01-18 00:00:00+00:00,8.28,A,08080700,-0.0,A,1.09,A
2004-01-19 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-01-20 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-01-21 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-01-22 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-01-23 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-01-24 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-01-25 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-01-26 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-01-27 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-01-28 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-01-29 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-01-30 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-01-31 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-02-01 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-02-02 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-02-03 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-02-04 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-02-05 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-02-06 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-02-07 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-02-08 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-02-09 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-02-10 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-02-11 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-02-12 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-02-13 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-02-14 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-02-15 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-02-16 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-02-17 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-02-18 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-02-19 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-02-20 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-02-21 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-02-22 00:00:00+00:00,6.99,A,08080700,0.0,A,1.22,A
2004-02-23 00:00:00+00:00,2.73,A,08080700,-0.0,A,0.13,A
2004-02-24 00:00:00+00:00,8.97,A,08080700,0.0,A,3.63,A
2004-02-25 00:00:00+00:00,6.4,A,08080700,-0.0,A,1.22,A
2004-02-26 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-02-27 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-02-28 00:00:00+00:00,4.33,A,08080700,0.0,A,0.09,A
2004-02-29 00:00:00+00:00,35.4,A,08080700,-0.0,A,8.37,A
2004-03-01 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-03-02 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-03-03 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-03-04 00:00:00+00:00,41.7,A,08080700,0.0,A,18.7,A
2004-03-05 00:00:00+00:00,10.3,A,08080700,-0.0,A,3.23,A
2004-03-06 00:00:00+00:00,0.0,A,08080700,-0.0,A,-0.0,A
2004-03-07 00:00:00+00:00,0.0,A,08080700,-0.0,A,-0.0,A
2004-03-08 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-03-09 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-03-10 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-03-11 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-03-12 00:00:00+00:00,3.83,A,08080700,-0.0,A,1.46,A
2004-03-13 00:00:00+00:00,5.15,A,08080700,-0.0,A,1.21,A
2004-03-14 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2004-03-15 00:00:00+00:00,0.0,A,08080700,-0.0,A,-0.0,A
2004-03-16 00:00:00+00:00,0.0,A,08080700,-0.0,A,-0.0,A
2004-03-17 00:00:00+00:00,0.0,A,08080700,-0.0,A,-0.0,A
2004-03-18 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2004-03-19 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2004-03-20 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2004-03-21 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2004-03-22 00:00:00+00:00,0.0,A,08080700,-0.0,A,-0.0,A
2004-03-23 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-03-24 00:00:00+00:00,0.0,A,08080700,-0.0,A,-0.0,A
2004-03-25 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-03-26 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-03-27 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-03-28 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-03-29 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-03-30 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-03-31 00:00:00+00:00,0.0,A,08080700,-0.0,A,-0.0,A
2004-04-01 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2004-04-02 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2004-04-03 00:00:00+00:00,0.0,A,08080700,-0.0,A,-0.0,A
2004-04-04 00:00:00+00:00,18.2,A,08080700,-0.0,A,4.37,A
2004-04-05 00:00:00+00:00,6.99,A,08080700,-0.0,A,1.14,A
2004-04-06 00:00:00+00:00,-0.0,A,08080700,-0.0,A,-0.0,A
2004-04-07 00:00:00+00:00,2.24,A,08080700,-0.0,A,0.05,A
2004-04-08 00:00:00+00:00,,,08080700,,,0.19,A
2004-04-09 00:00:00+00:00,,,08080700,,,18.0,A
2004-04-10 00:00:00+00:00,32.9,A,08080700,2.03,A,11.6,A
2004-04-11 00:00:00+00:00,2.03,A,08080700,0.0,A,0.24,A
2004-04-12 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-04-13 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-04-14 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-04-15 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-04-16 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-04-17 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-04-18 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-04-19 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-04-20 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-04-21 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-04-22 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-04-23 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-04-24 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-04-25 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-04-26 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-04-27 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-04-28 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-04-29 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-04-30 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-05-01 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-05-02 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-05-03 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-05-04 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-05-05 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-05-06 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-05-07 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-05-08 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-05-09 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-05-10 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-05-11 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-05-12 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-05-13 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-05-14 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-05-15 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-05-16 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-05-17 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-05-18 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-05-19 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-05-20 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-05-21 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-05-22 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-05-23 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-05-24 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-05-25 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-05-26 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-05-27 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-05-28 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
2004-05-29 00:00:00+00:00,0.0,A,08080700,0.0,A,0.0,A
